text,gold_label,predicted_label,urgency_pred,correct,error_type,error_reason
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,positive,non-urgent,False,T1,"The sentence contains ambiguous language, as the phrase 'LIGHTS OUT' can be interpreted in multiple ways, making it difficult to determine the sentiment."
"`` Soon after , the collisions started . ''",neutral,negative,non-urgent,False,T1,"The sentence contains genuinely ambiguous language, as the word 'collisions' can have multiple meanings depending on the context, leading to potential disagreement among humans."
Temporary layoffs in these units have already started .,neutral,negative,urgent,False,T1,"The sentence 'Temporary layoffs in these units have already started .' can be interpreted as a factual statement, which may be perceived as neutral by some, but others might view it as negative due to the implication of job loss."
"After the transaction , Danske Bank becomes an equal player with Nordic bank group Nordea in the Nordic countries .",neutral,positive,non-urgent,False,T1,"The sentence contains ambiguous language, as the term 'equal player' can be interpreted in different ways, leading to varying sentiment interpretations."
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,negative,non-urgent,False,T1,"The sentence contains ambiguous language, as the word 'below' can be interpreted as a negative or neutral statement depending on the context, leading to potential disagreement among humans."
"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night .",neutral,negative,urgent,False,T1,"The sentence contains genuinely ambiguous language, as the alteration of the timetable could be seen as either a positive or negative change, depending on the perspective."
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral,negative,non-urgent,False,T1,"The sentence uses ambiguous language, 'has fallen off the list completely', which can be interpreted as a negative or neutral statement depending on the context, but in this case, it's describing a removal from a list without any negative connotation."
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,neutral,positive,non-urgent,False,T1,"The sentence uses the word 'strengthens' which can be interpreted as positive, but the overall tone is neutral as it's focusing on a goal rather than expressing enthusiasm or excitement."
"Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range .",neutral,positive,non-urgent,False,T1,"The sentence contains a formal announcement of a product expansion, which may be perceived as neutral by some, but others might interpret it as positive due to the addition of new features."
"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",positive,neutral,non-urgent,False,T2,"The sentence contains subtle positive language, such as 'collaborate', 'joint projects', and 'energy efficient technologies', which convey a sense of cooperation and progress, but may not be strongly enough worded to be classified as positive by the model."
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,neutral,non-urgent,False,T2,"The sentence expresses a positive outcome (winning a contract) but the language used is subtle, making it seem like a neutral statement."
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",positive,negative,urgent,False,T2,"The sentence expresses a positive outcome (stock price rose) but the percentage increase is small (0.9%), which might be perceived as a subtle positive rather than a strong positive."
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,neutral,non-urgent,False,T2,"The sentence contains a positive statement ('signed') which is a subtle positive expression, making it difficult for the model to classify as positive."
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,neutral,non-urgent,False,T2,"The sentence expresses a positive sentiment through the company's plans to focus on growth segments and streamline corporate structure, which implies a proactive and forward-thinking approach, but the language used is subtle and may not be immediately apparent as positive to a model."
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive,neutral,non-urgent,False,T2,"The sentence expresses a positive sentiment through the use of 'grew' and 'adopting', which are subtle indicators of a positive outcome."
The aim is to increase sales by at least one fifth in 2006 .,positive,neutral,non-urgent,False,T2,"The phrase 'at least one fifth' is a subtle expression of a positive goal, which might be misinterpreted as neutral by the model."
"`` Indo-Russia trade can cross the targeted 10 billion dollars by 2010 and double to 20 billion dollars by 2015 , if trade irritants and procedural hassles are resolved , '' the chamber said in its survey on obstacles to trade with Russia .",positive,negative,non-urgent,False,T2,"The sentence expresses a positive sentiment, but the tone is subtle and the language used is cautious, which might lead to misclassification as negative."
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,neutral,non-urgent,False,T2,"The sentence contains a positive statement about aligning with strategic plans, which is a subtle expression of a positive sentiment."
"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",positive,neutral,non-urgent,False,T2,"The sentence expresses a positive tone through the expansion of Visa Wave to new regions, but the language used is subtle and may not be immediately apparent as positive to a model."
